file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75
random_100_1.tsp,191675.0,179287.0,338273.0,47.25315523147583,70.39653182029724,0.2122659683227539,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.37003968487300776,99,230536.0,0.0,653.0,261.6642,125.9465896257616,15862.54343836,165.0,358.0,0.01020408163265306,0.0334116547727007,0.018454448223123567,0.0063879821066575035,4.080631539497644e-05,0.012888857714097066,0.02167821630110548,0.0026036872419325143,0.0050621260929590425,0.003867209663738483,0.000559642329580887,3.1319953705872213e-07,0.003429378666609576,0.004251207782389389
random_100_2.tsp,191650.0,187390.0,319186.0,37.48313283920288,73.69952845573425,0.2124323844909668,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3841346658865461,99,224949.0,0.0,610.0,253.213,122.41019904811854,14984.256831,162.0,343.25,0.01020408163265306,0.03808438761302461,0.018482088370962765,0.006780949950676719,4.598128223358261e-05,0.01302239452686787,0.023192350229361582,0.0027776998400718274,0.005256451099076139,0.004013776461901546,0.0006447040145653456,4.156432663966734e-07,0.0035544838584844083,0.004479335144839931
random_100_3.tsp,197804.0,190321.0,318863.0,31.77650046348572,71.80225682258606,0.2117538452148437,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36289861808723667,99,228082.0,0.0,676.0,265.8194,130.13763169675406,16935.803183640004,166.0,363.0,0.01020408163265306,0.03687188103222595,0.018908777629687085,0.006327939840092054,4.0042822619824256e-05,0.013281611439609431,0.02360301787391785,0.002492196153458866,0.005065752443330093,0.0038273961895732766,0.0006264465860819875,3.9243532521377705e-07,0.0033327825079113634,0.004320004033746338
random_100_4.tsp,186810.0,189495.0,340719.0,37.75858783721924,69.92271280288696,0.2117507457733154,GILS_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3832195856166431,99,211462.0,0.0,623.0,258.5526,124.01530886644602,15379.796833240003,162.0,353.25,0.01020408163265306,0.03806185589011163,0.018141969003969912,0.006554175804094171,4.295722047097347e-05,0.012023819426254082,0.022351477704462077,0.0027846534653465345,0.00506497493093216,0.0039096299024884715,0.0005599670437194121,3.1356309005185795e-07,0.003411969710722027,0.004346663453235599
random_100_5.tsp,197788.0,189798.0,325912.0,34.089958906173706,63.9948468208313,0.2130312919616699,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.36362049035839916,99,212336.0,0.0,635.0,248.6112,121.85830802436082,14849.44723456,158.0,336.0,0.01020408163265306,0.040420730519804215,0.018504099457883512,0.006938171472903664,4.8138223387414204e-05,0.012031150381490517,0.02367750697018603,0.0028412352198369877,0.005478087649402391,0.004122474492950765,0.0007615934671243678,5.800246091665154e-07,0.0034541112967725863,0.004693184844151943
random_100_6.tsp,203193.0,200232.0,319264.0,33.0801465511322,52.40556645393372,0.2097065448760986,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.4019362565097626,99,226586.0,0.0,649.0,283.3196,135.7672473604735,18432.745455840002,175.75,389.0,0.01020408163265306,0.03256273761982642,0.017790910829716317,0.006057891579937843,3.669805039428181e-05,0.01237444633136243,0.02195574380637147,0.0025392428439519853,0.004620770128354726,0.003554703366347567,0.000458355544561994,2.1008980523072204e-07,0.0032581182164822227,0.0038277885434727533
random_100_7.tsp,194358.0,187703.0,291695.0,37.59553003311157,62.71569561958313,0.2162482738494873,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3755229701610204,99,222718.0,0.0,655.0,266.254,128.9432289187765,16626.356284,168.0,366.0,0.01020408163265306,0.036213495094106686,0.018336515799365623,0.006543749080594571,4.2820652029782285e-05,0.012562108032125903,0.022167250580148824,0.0026756756756756758,0.005017230893979323,0.0038139544003465754,0.0006063927494014573,3.6771216652665864e-07,0.0033703133417747146,0.004243692318263184
random_100_8.tsp,198252.0,196737.0,326676.0,39.41764283180237,60.39082169532776,0.2117364406585693,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3653672108245675,99,208733.0,0.0,677.0,267.9704,131.69014057187425,17342.293123839998,166.0,365.0,0.01020408163265306,0.03438159354860853,0.018638841940665375,0.006909252320518149,4.7737767628585426e-05,0.012541603899593086,0.02282631031493742,0.002554113670957922,0.005027932960893855,0.0037952400179467145,0.0006131185537514029,3.7591436095421186e-07,0.003296319901972416,0.004211160593012159
random_100_9.tsp,195801.0,183864.0,331554.0,44.00591206550598,68.16908621788025,0.2135164737701416,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.38254915785084803,99,218801.0,0.0,618.0,256.4242,123.96363924296512,15366.98385436,158.0,351.0,0.01020408163265306,0.03525793717903939,0.018356466504099025,0.006664024906356311,4.4409227952537246e-05,0.013336699930883055,0.023237894230283808,0.0027675276752767526,0.005188951202893233,0.0039497894695031685,0.0005936632167230047,3.5243601488990525e-07,0.003512101913010958,0.004377485178197464
random_10_0.tsp,5118.0,5118.0,6067.0,0.0897662639617919,0.0373623371124267,0.0,GRASP_time,10,55,0.18181818181818182,5.5,1.2222222222222223,0.4671718244037608,9,6674.0,0.0,481.0,220.3,131.50091254436222,17292.49,111.0,318.0,0.125,0.15277777777777776,0.12962962962962962,0.00948791737588851,9.00205761316871e-05,0.125,0.125,0.0030425963488843813,0.005569306930693069,0.004266345309662458,0.0008924849680966333,7.965294182784484e-07,0.0034924904234416463,0.005050575310991043
