file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
srandom_66_85.tsp,66,2211,0.0298507462686567,33.5,1.0307692307692309,0.342623832697641,65,1113227.0,0.0,6657.0,2455.0702479338843,1233.3293426061684,1521101.2673333636,1526.0,3399.0,0.015625,0.0257852564102564,0.0189420888535836,0.0031254884924593,9.768678316495804e-06,0.0159455128205128,0.0211903981435231,0.0002613832401066,0.0005461817692928,0.0004133849366667,7.049979955211785e-05,4.970221736888796e-09,0.0003630653346596,0.0004800112894496,966248.0,9.506567239761353,1294592.0,0.09920120239257812,952307.0,15.29597020149231
srandom_67_0.tsp,67,2278,0.0294117647058823,34.0,1.0303030303030305,0.3951757432347582,66,1165443.0,0.0,6187.0,2647.189128981956,1319.6565728841404,1741493.4703563142,1621.0,3619.0,0.0153846153846153,0.0273073365381057,0.0188371247905743,0.0032083940002844,1.0293792061061265e-05,0.016045066045066,0.0205451955451955,0.0002812915544341,0.0005021837383774,0.0003811891983116,5.88185382530108e-05,3.459620442220894e-09,0.0003349149038222,0.0004256648858813,1074916.0,15.021731615066528,1645692.0,0.10201168060302734,998716.0,17.480276107788086
srandom_67_15.tsp,67,2278,0.0294117647058823,34.0,1.0303030303030305,0.3605759237819017,66,1259880.0,0.0,6440.0,2484.0343060815326,1247.9399258476287,1557354.058524585,1562.0,3356.0,0.0153846153846153,0.0266666666666666,0.0186098614668179,0.0029218565943255,8.537245957803952e-06,0.016025641025641,0.0207495534768262,0.0002665815759818,0.0005520425574626,0.0004124201380447,8.061809836536671e-05,6.499277784047942e-09,0.0003428178370874,0.0004789602225796,1115121.0,11.628742218017578,1651405.0,0.10355114936828613,1109401.0,19.034258365631104
srandom_68_49.tsp,68,2346,0.0289855072463768,34.5,1.0298507462686568,0.3922117511704395,67,1186535.0,0.0,5879.0,2480.553633217993,1224.7787946153358,1500083.095739395,1530.0,3388.25,0.0151515151515151,0.02805776313239,0.0183239903075102,0.0027942412514716,7.807784171425645e-06,0.0160372380521634,0.0201688516256978,0.0002778307637443,0.0005277003292219,0.000407687664345,6.48539534375182e-05,4.206035276475778e-09,0.0003579571446539,0.0004628635271931,1058042.0,12.046635866165161,1498892.0,0.10801196098327637,1042536.0,17.62389302253723
srandom_68_67.tsp,68,2346,0.0289855072463768,34.5,1.0298507462686568,0.3601287246026863,67,1071096.0,0.0,6749.0,2617.254757785467,1318.6868630563636,1738935.0427974327,1605.0,3619.5,0.0151515151515151,0.0245590230664857,0.0187609717228895,0.0029912670447495,8.94767853300467e-06,0.0159109754259007,0.0210864010982735,0.0002624579381774,0.0005171029883921,0.0003896077425445,7.16057588323265e-05,5.127384697953304e-09,0.0003313109711004,0.0004507330375637,1049848.0,13.991868495941162,1547601.0,0.10711789131164551,1054031.0,14.64739465713501
srandom_6_2.tsp,6,21,0.2857142857142857,3.5,1.4,0.5935181095875518,5,31054.0,0.0,4254.0,2212.722222222222,1315.3903014169323,1730251.6450617283,1172.0,3349.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.000314524753098,0.0004717871296471,0.0003860554705797,6.13947499821985e-05,3.769315325376663e-09,0.0003321105373971,0.0004412005212888,25956.0,0.02601766586303711,25956.0,0.0,25956.0,0.009505033493041992
srandom_70_14.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.4006593174823628,69,1269486.0,0.0,6331.0,2729.688571428572,1303.1300530864687,1698147.9352571429,1725.0,3734.0,0.0147058823529411,0.0238557478327299,0.0176178673964732,0.0024848617782423,6.1745380569695765e-06,0.0153943219799997,0.0194532704659453,0.0002766562285741,0.0004844723113542,0.0003680759196477,5.13860532540518e-05,2.6405264690282472e-09,0.0003283621168615,0.0004040535457047,1249564.0,13.727365493774414,1788071.0,0.11657285690307617,1124058.0,15.804188251495361
srandom_70_69.tsp,70,2485,0.028169014084507,35.5,1.0289855072463767,0.4003120591987479,69,1221612.0,0.0,5988.0,2582.126530612245,1287.825176178105,1658493.6843981675,1607.0,3524.0,0.0147058823529411,0.0271419437340153,0.0180438209757111,0.0028869305584864,8.334368049522877e-06,0.0155264279624893,0.0199128111092625,0.000273255422536,0.0005184111075214,0.0003943306478356,7.009718975249275e-05,4.913616011196974e-09,0.0003309332140907,0.0004635164312885,1152305.0,17.699881315231323,1804138.0,0.11601400375366211,1098478.0,17.86772084236145
srandom_71_51.tsp,71,2556,0.0277777777777777,36.0,1.0285714285714285,0.3700293437277349,70,1327198.0,0.0,6627.0,2652.1539377107715,1289.1641696876063,1661944.2564063354,1654.0,3637.0,0.0144927536231884,0.0248578178255312,0.0175042524310118,0.0026998355447829,7.28911196887323e-06,0.0149068322981366,0.0195457092333234,0.0002633182614976,0.000488499330058,0.0003793421525199,5.334587745411765e-05,2.845782641349738e-09,0.0003380687011441,0.0004205961088745,1107060.0,19.84195303916931,1771435.0,0.12261509895324707,1051234.0,15.199133157730103
srandom_71_58.tsp,71,2556,0.0277777777777777,36.0,1.0285714285714285,0.3697465368905533,70,1282084.0,0.0,6142.0,2431.684983138266,1201.10060779944,1442642.670056184,1532.0,3293.0,0.0144927536231884,0.0251129753614225,0.018048162877271,0.0032467930231629,1.0541664935259829e-05,0.0150448585231193,0.0204149002596207,0.0002863430717248,0.0005608345217683,0.000419671064234,7.696886347482967e-05,5.924205944606968e-09,0.0003494925038395,0.0004823468949889,1154980.0,13.53889536857605,1747896.0,0.1220850944519043,1094364.0,17.241883993148804
