file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
line_60_0.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,589.0,200.09722222222223,142.87569186400214,20413.463325617282,23569.0,8.431230306625366,47623.0,0.07060384750366211,25349.0,9.472960948944092
line_60_1.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,579.0,192.49944444444444,138.33557026192273,19136.72999969136,25839.0,8.078019618988037,40529.0,0.07159948348999023,25195.0,10.805397748947144
line_60_2.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,594.0,203.82888888888888,145.78503066306945,21253.2751654321,27298.0,9.848395109176636,46012.0,0.07058167457580566,27892.0,8.547023057937622
line_60_3.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,592.0,198.2422222222222,141.07877703040617,19903.221328395062,27960.0,6.394307613372803,44792.0,0.07192254066467285,25304.0,8.92059588432312
line_60_4.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,596.0,196.9738888888889,140.369701884341,19703.653207098767,27777.0,7.287898063659668,43669.0,0.07178592681884766,21675.0,10.577569007873535
line_60_5.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,593.0,209.37222222222223,149.17451862222595,22253.03700617284,27626.0,8.041392803192139,46778.0,0.0708780288696289,27032.0,7.987145900726318
line_60_6.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,591.0,207.22944444444445,148.40113476551102,22022.89679969136,25233.0,6.805795431137085,39375.0,0.06967687606811523,25719.0,9.831158876419067
line_60_7.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,592.0,205.39222222222222,148.59082349995595,22079.23282839506,26820.0,8.909592390060425,43414.0,0.07001090049743652,26356.0,10.600741386413574
line_60_8.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,551.0,169.99555555555557,122.0534945661224,14897.055535802469,23308.0,8.5910062789917,36636.0,0.07058930397033691,23498.0,8.895066022872925
line_60_9.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,597.0,206.58666666666667,150.15596425050856,22546.8136,19584.0,12.373029947280884,55364.0,0.0708775520324707,19674.0,8.600708723068237
line_70_0.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,693.0,238.5722448979592,173.74849958260168,30188.541107205336,28742.0,10.098930835723877,52508.0,0.11134076118469238,31948.0,17.917710065841675
line_70_1.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,697.0,236.18979591836734,171.81025692802115,29518.76438567264,29583.0,18.573846340179443,80503.0,0.11111640930175781,31471.0,17.868586540222168
line_70_2.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,680.0,240.4391836734694,171.31195013938196,29347.784260558095,33228.0,16.704973220825195,68598.0,0.11366009712219238,32818.0,18.054569959640503
line_70_3.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,665.0,222.98,159.39133208194585,25405.596742857142,32999.0,13.189301252365112,59931.0,0.11461067199707031,34481.0,17.19459319114685
line_70_4.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,684.0,236.69673469387754,171.6369776935808,29459.252111786755,31235.0,13.49501371383667,62253.0,0.11159086227416992,35333.0,18.365641593933105
line_70_5.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,676.0,242.79755102040815,174.65511389687114,30504.40881032903,37248.0,12.66460919380188,62652.0,0.11063170433044434,37742.0,15.80559253692627
line_70_6.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,680.0,224.6477551020408,161.02125732736954,25927.84531128696,32609.0,12.863229513168335,60107.0,0.11054420471191406,28809.0,18.210033893585205
line_70_7.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,666.0,219.9918367346939,157.79092837111466,24897.97707621824,32222.0,10.62793254852295,60654.0,0.11131548881530762,27024.0,18.38846492767334
line_70_8.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,693.0,216.92612244897958,156.352557693213,24446.122297209495,29237.0,14.731430053710938,60193.0,0.11116814613342285,29417.0,16.235612392425537
line_70_9.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,693.0,236.47918367346938,174.21379480791532,30350.446301374428,23578.0,11.306594848632812,50950.0,0.11067748069763184,24534.0,15.69777512550354
line_80_0.tsp,80,3240,0.024691358024691357,40.5,1.0253164556962024,0.0,794.0,263.62,190.00985329713825,36103.74435,44116.0,21.422058582305908,93076.0,0.16568326950073242,43370.0,23.9788236618042
